director,drama_name,rank,pop,story_score,acting_cast_score,music_score,rewatch_value_score,overall_score
Kim Yong Wan,The Cursed,3063,1751,7.9,8.8,6.9,6.0,8.2
Kim Yoo Jin,My Heart Twinkle Twinkle,7768,4032,7.9,8.9,6.1,6.6,8.1
Kim Yoo Jin,Revenge of Others,446,348,7.6,8.3,7.5,5.8,7.5
"Kim Yoo Jin, Kim Yoo Jin",The Undateables,4814,878,6.8,8.6,8.4,5.4,7.6
Kim Yoon Cheol,Battle for Happiness,2952,3767,8.3,8.4,8.8,6.4,7.9
Kim Yoon Cheol,Becoming Witch,6712,4497,4.8,8.0,4.9,3.2,5.8
Kim Yoon Cheol,Madame Antoine,6856,516,6.0,7.6,7.0,3.9,6.0
Kim Yoon Cheol,Mama Fairy and the Woodcutter,8577,1291,7.0,8.0,6.6,5.4,7.1
Kim Yoon Cheol,Woman of Dignity,1534,1779,8.1,9.4,7.3,6.6,8.5
Kim Yoon Jin,Our Beloved Summer,226,83,7.0,8.7,8.2,6.3,7.8
Kim Young Jo,Jang Young Shil,3655,5614,8.6,9.4,8.1,7.2,8.9
Kim Young Jo,Oh My Geum Bi,1152,2156,9.1,9.4,8.0,7.8,9.0
Kim Young Jo,Woman of 9.9 Billion,5220,2972,6.8,8.0,6.6,5.6,7.2
Kim Young Joon,How Are You Bread,8776,1901,5.3,6.7,6.7,4.4,5.8
Kim Young Min,Short,3591,3590,7.9,8.5,8.0,7.8,8.3
Ko Heung Sik,Mom Has an Affair,6789,9021,7.2,7.3,5.5,4.3,7.0
Ko Heung Sik,My Mother Is a Daughter-In-Law,44090,14364,10.0,10.0,10.0,10.0,10.0
Ko Jae Hong,Dear X Who Doesn't Love Me,8255,2644,6.7,7.3,6.4,3.5,6.3
Ko Jae Hong,The Temperature of Language: Our Nineteen,3006,1634,9.0,9.1,7.8,6.8,9.0
Komatsu Takashi,Persona,7718,909,6.8,8.9,6.6,5.5,7.0
Kwak Bong Cheol,When Time Stopped,6950,1432,7.6,8.9,9.0,5.6,7.7
Kwak Bong Cheol,Your Playlist,8703,5286,2.0,4.3,5.8,1.0,2.3
Kwak Gi Won,It's My Life,7749,5924,6.5,8.2,6.5,6.2,6.8
Kwak Gi Won,Sponsor,9054,3971,7.5,7.5,5.2,3.2,5.8
Kwak Gi Won,Still Loving You,4135,5209,7.0,7.5,4.0,4.5,7.0
Kwak Jung Hwan,Chief of Staff,2192,1832,8.9,9.4,8.3,7.2,8.9
Kwak Jung Hwan,Chief of Staff Season 2,1334,3093,9.2,9.5,8.3,7.3,9.3
Kwak Jung Hwan,Delayed Justice,3691,4725,9.5,9.4,8.2,7.6,8.7
Kwak Jung Hwan,Local Hero,7343,1656,7.2,7.2,6.8,4.9,6.9
Kwak Jung Hwan,Miss Hammurabi,1863,316,8.2,8.6,8.3,7.2,8.0
Kwak Jung Hwan,The K2,1479,36,7.1,8.5,7.7,4.9,7.6
Kwon Hyuk Chan,I Picked Up a Star on the Road,5657,908,7.0,8.2,7.2,5.8,6.9
"Kwon Hyuk Chan, Lee Min Woo",Cinderella and the Four Knights,3491,34,5.8,7.6,7.7,4.1,6.3
"Kwon Hyuk Chan, Park Shin Woo",Encounter,1834,248,8.5,9.5,9.0,8.2,8.8
"Kwon Ik Joon, Kim Jung Shik",So Not Worth it,2915,618,6.9,7.8,7.5,6.9,7.3
Kwon Nam Ki,Magic Cell Phone,9229,5151,4.7,4.3,4.2,2.0,4.7
Kwon Seok Jang,Bossam: Steal the Fate,2079,1892,7.6,8.8,8.5,6.2,7.8
Kwon Seok Jang,Ex-Girlfriend Club,4698,920,8.4,9.2,8.4,7.7,8.5
Kwon Seok Jang,Once Upon a Small Town,2236,499,6.3,7.4,6.1,5.0,6.8
"Kwon Seok Jang, Kim Sang Ho",Avengers Social Club,415,887,9.1,9.4,8.1,8.0,8.8
Kwon Soo Kyung,The Flatterer,8860,2947,7.3,8.2,4.8,7.5,7.3
Kwon Sung Chang,One More Happy Ending,2917,667,7.4,9.2,7.5,6.1,8.1
Kwon Sung Chang,Queen of the Ring,2518,393,6.8,8.2,6.7,5.1,6.9
Kwon Young Il,Doom at Your Service,609,62,7.5,8.8,8.7,6.5,7.8
Kwon Young Il,My Unfamiliar Family,716,1451,8.2,8.8,7.9,6.7,8.2
Lee Byung Hun,Positive Physique,6715,1475,6.3,8.7,6.8,7.2,7.2
"Lee Byung Hun, Kim Hye Young",Unicorn,5598,4163,8.6,9.4,7.6,8.2,8.9
"Lee Byung Hun, Seo Seong Won","Alice, the Final Weapon",3378,2288,7.1,7.9,6.9,5.4,7.2
Lee Chang Han,Love & Wish,4525,2650,8.5,8.8,8.2,6.6,8.2
Lee Chang Han,Love in Spring,7871,2200,6.3,8.3,7.7,4.9,6.8
Lee Chang Han,Risky Romance,5371,2230,7.4,8.4,6.8,7.0,7.8
Lee Chang Hee,Strangers from Hell,259,120,8.1,9.6,8.8,6.1,8.1
Lee Chang Min,Agency,1331,1948,8.8,9.3,8.2,7.8,8.9
Lee Chang Min,Eulachacha Waikiki,346,111,8.4,9.5,8.5,7.8,8.6
Lee Chang Min,Eulachacha Waikiki Season 2,1520,442,7.3,8.0,7.0,6.3,7.4
Lee Chang Min,Monthly Magazine Home,4152,1162,7.3,8.5,7.9,5.5,7.1
Lee Chang Min,Remember: War of the Son,1217,377,8.2,8.6,7.3,5.5,8.2
Lee Chul Ha,Eating Existence,8729,4799,5.6,7.1,5.8,3.8,6.1
Lee Chul Ha,Unlock My Boss,2117,1088,8.9,9.2,8.5,7.7,8.6
Lee Dan,Taxi Driver Season 2,90,682,7.0,8.6,8.1,6.5,7.6
Lee Dong Hyun,She Knows Everything,7383,4462,7.6,8.6,6.3,5.9,7.6
"Lee Dong Hyun, Lee Dae Young",Golden Garden,6357,4864,7.4,7.5,6.2,6.2,7.2
Lee Dong Yoon,20th Century Boy and Girl,3014,1221,7.7,9.0,8.0,7.7,8.4
Lee Dong Yoon,Happy Home,6834,4878,6.5,8.0,4.8,5.5,7.2
Lee Dong Yoon,Race,6265,4178,7.5,8.3,7.8,6.3,6.7
Lee Dong Yoon,She Would Never Know,2090,264,7.6,8.5,7.9,7.4,8.0
Lee Duk Gun,"TV Novel: Waves, Waves",59249,15772,4.7,4.3,2.5,1.0,4.2
Lee Duk Gun,The Unusual Family,58885,9305,3.5,4.0,1.0,1.0,3.5
"Lee Duk Gun, Park Man Young",The Eccentric Daughter-in-Law,7125,2769,7.3,7.8,7.8,6.2,7.9
Lee Eon Hee,The Killer's Shopping List,1737,1381,8.7,9.1,8.0,6.9,8.5
Lee Eun Jin,Feel Good to Die,3694,1605,8.2,8.9,8.1,7.4,8.3
Lee Eun Jin,The Law Cafe,1751,563,6.3,7.7,6.9,4.7,6.4
"Lee Eun Jin, Kim Jung Hyun",Sassy Go Go,1575,145,8.1,9.4,8.2,7.5,8.6
Lee Eung Bok,Goblin,131,1,6.3,8.2,8.3,4.2,6.5
Lee Eung Bok,Jirisan,1550,557,6.5,8.8,7.4,4.9,7.0
Lee Eung Bok,Mr. Sunshine,82,105,8.4,9.4,8.8,6.6,8.6
Lee Eung Bok,Sweet Home,229,59,7.5,9.2,6.4,7.4,7.8
Lee Geon Joon,All About My Mom,2658,3153,8.6,9.6,8.4,7.3,8.9
Lee Gil Bok,"Now, We Are Breaking Up",8665,572,4.2,4.7,4.7,2.6,4.2
Lee Gye Joon,Love of Eve,54646,12387,3.0,3.0,1.0,1.0,3.0
"Lee Han Joon, Kim Ji Hoon",Check Out the Event,7393,2755,6.9,7.8,7.0,4.7,7.0
"Lee Han Joon, Kim Seung Ho",Joseon Attorney: A Morality,2122,1201,7.5,9.1,7.7,5.5,7.7
Lee Ho Jae,Recipe for Farewell,636,3744,9.8,9.8,9.4,9.1,9.6
Lee Hyun Jik,Sweet Enemy,8159,8055,2.2,5.0,2.8,2.0,2.2
"Lee Hyun Jik, Kim Jae Hong",Phoenix 2020,59305,6521,4.0,4.3,3.7,3.2,4.0
Lee Hyun Joo,Imaginary Cat,6469,1373,7.4,8.1,6.6,5.8,7.7
Lee Hyun Joo,Lonely Enough to Love,7104,2175,7.0,7.7,6.7,4.9,6.8
Lee Hyun Suk,"Hello, Me!",2207,780,7.8,8.3,7.8,6.4,7.8
Lee Hyung Min,Chocolate,1681,448,8.0,8.9,8.2,5.6,7.8
Lee Hyung Min,Ms. Temper & Nam Jung Gi,4259,1866,8.8,9.0,7.9,7.5,9.0
Lee Hyung Min,My Dangerous Wife,3232,3228,8.6,9.2,8.8,6.5,8.6
Lee Hyung Min,Strong Woman Do Bong Soon,249,2,4.2,7.2,6.0,3.2,5.2
"Lee Hyung Min, Choi Sung Bum",Orange Marmalade,8664,251,6.0,6.7,6.1,3.2,5.9
"Lee Hyung Min, Jo Woong",Miracle That We Met,2072,2067,8.7,9.0,8.2,6.8,8.1
"Lee Hyung Min, Jung Sang Hee","From Now On, Showtime!",701,603,8.7,8.9,8.2,7.8,8.7
Lee Hyung Sun,Always Springtime,57994,14657,2.5,2.5,1.0,1.0,2.5
Lee Hyung Sun,The Witch's Game,55701,6367,3.5,5.8,7.2,1.0,3.8
"Lee Hyung Sun, Jang Yong Woo",Joseon Survival,8337,4870,4.2,5.0,3.0,2.5,3.8
Lee Jae Gyoo,All of Us Are Dead,509,94,7.5,8.6,7.5,6.8,7.9
Lee Jae Gyoo,Trap,2943,2687,6.2,7.9,6.1,4.0,6.7
Lee Jae Hoon,Divorce Attorney Shin,838,1585,9.0,9.4,8.9,8.5,8.9
Lee Jae Hoon,Run On,1142,69,8.0,9.1,8.0,6.9,8.2
"Lee Jae Hoon, Choi Yoon Seok",Good Manager,358,284,9.8,9.9,9.4,9.4,9.8
"Lee Jae Hoon, Kang Soo Yeon",The Ghost Detective,3545,1124,7.3,8.8,8.5,5.7,6.8
"Lee Jae Hoon, Ki Min Soo",Blood,6410,174,6.0,6.5,5.8,4.4,6.4
Lee Jae Jin,The Banker,4906,7208,8.0,8.0,8.0,5.0,8.0
Lee Jae Jin,The Spies Who Loved Me,5276,1200,6.8,7.8,6.5,5.7,7.0
"Lee Jae Jin, Kang Dae Sun",Woman with a Suitcase,5322,3141,7.5,8.3,6.3,6.8,8.0
Lee Jae Sang,My Father Is Strange,378,381,9.2,9.5,8.6,8.5,9.3
Lee Jae Sang,Once Again,351,999,9.0,9.1,8.2,8.4,9.0
Lee Jeong Hyo,Because It's the First Time,5042,870,9.0,9.1,8.3,8.6,8.8
Lee Jeong Hyo,Crash Landing on You,53,8,8.1,9.2,8.6,7.4,8.2
Lee Jeong Hyo,Life on Mars,169,406,9.4,9.5,8.8,7.9,9.2
Lee Jeong Hyo,Romance Is a Bonus Book,1499,37,7.7,8.8,7.3,6.8,7.6
Lee Jeong Hyo,The Good Wife,1871,1854,8.1,8.9,7.0,6.3,8.1
"Lee Jeong Hyo, Yang Yoon Ho",Criminal Minds,3148,566,7.1,8.0,7.6,5.4,7.6
Lee Jin Seo,Brain Works,2336,2219,7.6,8.2,6.2,6.8,7.4
Lee Jin Seo,Revolutionary Sisters,6161,3484,7.9,8.8,6.7,6.2,7.9
Lee Jong Jae,Duel,703,854,8.5,9.5,7.6,7.6,8.5
Lee Jong Jae,Our Blooming Youth,1539,714,7.2,8.2,7.1,5.5,7.5
Lee Jong Jae,Psychopath Diary,863,394,8.0,8.5,7.7,7.0,7.8
"Lee Jong Jae, Nam Sung Woo",100 Days My Prince,882,140,7.0,8.6,7.3,6.0,7.3
Lee Jong Pil,One Day Off,1223,3710,8.9,9.1,7.8,8.5,8.9
Lee Joo Young,Anna,2920,1035,8.6,8.5,6.8,6.6,8.4
Lee Joo Young,Anna: Extended Version,2043,5495,7.9,9.4,8.4,6.4,8.0
Lee Joon Hyeong,Hip Hop King: Nassna Street,44224,6354,8.0,8.0,10.0,1.0,6.0
Lee Joon Hyeong,Tell Me What You Saw,1213,875,7.8,8.7,8.1,7.2,7.9
Lee Joon Ik,Yonder,5436,3812,8.4,9.1,8.2,7.0,8.7
Lee Jung Heum,Falsify,2426,1993,8.8,9.2,8.4,7.4,8.6
Lee Jung Heum,Inspector Koo,1364,1014,7.8,9.0,9.0,7.2,7.8
Lee Jung Heum,Nobody Knows,414,738,9.5,9.8,9.5,8.7,9.4
Lee Jung Hoon,Shady Mom-in-Law,56158,11086,5.2,4.0,4.5,2.7,4.3
Lee Jung Hoon,Wednesday 3:30 PM,2763,733,7.3,7.9,8.2,6.2,7.8
"Lee Jung Hoon, Ko Heung Sik",Happy Sisters,47174,10345,5.0,5.0,1.0,1.0,5.0
Lee Jung Mi,I Wanna Hear Your Song,5451,1125,7.0,8.2,7.8,5.5,7.3
Lee Jung Rim,V.I.P,2145,1139,8.4,9.2,8.4,6.5,8.4
"Lee Jung Rim, Kim Jae Hong",Revenant,236,769,8.6,9.6,8.2,7.5,8.7
Lee Jung Sub,Angel's Last Mission: Love,623,73,7.5,8.8,8.9,6.4,8.0
Lee Jung Sub,Dali and the Cocky Prince,562,239,8.5,9.1,8.7,7.9,8.5
Lee Jung Sub,Queen for Seven Days,1128,615,8.4,9.0,9.0,6.6,8.6
"Lee Jung Sub, Lee Eun Jin","My Lawyer, Mr. Jo",2762,2951,8.5,8.8,8.0,7.8,8.6
Lee Kang Hyun,Secrets of Women,52527,8652,4.5,4.8,3.8,1.0,4.5
Lee Khan,Grid,5507,1195,7.1,8.8,7.2,5.2,7.2
Lee Kwang Young,Call It Love,784,602,8.6,9.5,8.4,7.8,8.9
Lee Kwang Young,Judge vs. Judge,3500,1377,6.8,8.8,6.8,5.1,7.4
Lee Kwang Young,The Secret Life of My Secretary,1978,154,7.7,8.8,8.2,7.6,8.2
Lee Kwon,EXO Next Door,4123,188,6.6,7.8,8.5,7.0,7.5
Lee Kwon,Save Me Season 2,2082,2307,8.5,9.0,7.5,6.4,8.5
Lee Kyung Mi,The School Nurse Files,7137,521,7.5,8.9,8.0,7.1,8.0
Lee Min Soo,The Secret House,52145,6017,8.1,8.1,6.8,5.8,7.5
Lee Myung Woo,Backstreet Rookie,4060,181,7.5,9.0,8.3,6.7,8.3
Lee Myung Woo,One Ordinary Day,486,541,8.3,9.6,7.6,6.2,8.0
Lee Myung Woo,The Fiery Priest,237,404,10.0,10.0,9.8,9.9,9.9
Lee Myung Woo,Whisper,3801,1517,8.2,9.1,6.4,5.9,8.2
Lee Na Jung,Love Alarm,7270,35,5.5,6.6,5.4,4.4,5.3
Lee Na Jung,Mine,1111,665,6.8,9.2,7.2,5.3,7.6
Lee Na Jung,See You in My 19th Life,467,297,6.9,8.8,8.0,5.0,7.5
"Lee Na Jung, Kim Dong Hwi",Fight for My Way,513,21,8.2,9.1,8.5,8.2,8.6
Lee Rang,Oh! Dear Half-Basement Goddesses,51068,8806,7.0,9.0,2.0,3.5,9.0
Lee Sang Yeob,A Piece of Your Mind,1444,347,7.8,9.4,8.5,7.0,8.1
Lee Sang Yeob,Familiar Wife,1719,459,8.0,9.2,8.6,7.1,8.3
Lee Sang Yeob,Shopping King Louie,1510,131,7.5,8.7,8.4,6.5,8.1
Lee Sang Yeob,Yumi's Cells,650,245,8.7,9.1,8.5,7.8,8.8
Lee Sang Yeob,Yumi's Cells Season 2,815,598,6.8,8.2,8.2,5.3,7.0
"Lee Sang Yeob, Yoon Jong Ho",My Holo Love,1495,158,8.2,9.2,8.4,6.8,8.4
Lee Seung Hoon,Best Chicken,7182,2744,7.2,7.1,6.6,5.5,7.2
Lee Seung Hoon,Train,707,653,8.7,9.2,8.5,6.7,8.5
Lee Seung Young,Missing Noir M,1040,1413,8.3,9.2,9.0,6.9,8.7
Lee Seung Young,Tracer,2554,2088,7.4,7.8,7.0,6.4,6.9
Lee Seung Young,Tracer Season 2,2895,4910,6.7,6.8,6.0,5.3,6.5
Lee Seung Young,Voice Season 2,593,1004,8.5,9.0,8.8,7.2,8.7
Lee Si Young,Bad Girlfriend,8958,3262,5.5,7.5,6.0,4.8,5.5
Lee Si Young,Be My Boyfriend,2591,929,7.2,7.9,6.5,6.2,7.2
Lee Si Young,Chart Running Scholar,53555,11452,7.0,7.5,5.0,6.0,7.0
Lee So Yeon,Moorim School,4643,236,7.8,8.1,8.6,6.5,7.8
Lee So Yoon,The Heavenly Idol,4226,436,5.0,6.8,5.9,4.5,5.4
Lee Soo Hyun,Delightfully Deceitful,3486,1302,8.1,8.7,8.5,5.8,8.2
Lee Soo Hyun,Sh**ting Stars,777,134,7.2,8.4,8.0,5.5,7.5
Lee Su Ji,Ocean Likes Me,8643,1098,5.8,8.0,7.8,5.0,6.7
Lee Sung Joon,The Scholar Who Walks the Night,3214,296,6.1,7.2,6.0,4.8,6.5
Lee Tae Gon,Age of Youth,417,122,9.3,9.5,9.2,9.2,9.6
Lee Tae Gon,Diary of a Prosecutor,1329,1849,8.9,9.5,7.8,7.7,8.8
Lee Tae Gon,Mad for Each Other,523,366,8.3,9.1,8.3,7.3,8.1
"Lee Tae Gon, Kim Jae Hong",My Love Eun Dong,3479,1091,8.5,9.0,8.3,7.0,8.5
"Lee Tae Gon, Kim Sang Ho",Age of Youth Season 2,799,304,8.9,8.1,8.9,7.9,8.7
Lee Won Tae,Payback: Money and Power,3647,2729,9.8,9.8,8.0,8.2,9.2
"Lee Woo Jung, Yoon Sung Ho, Yoon Se Young, Kim In Seon",The Cravings Season 2,6468,10506,10.0,10.0,10.0,10.0,7.5
Lee Yong Seok,Haechi,1765,1559,9.1,9.0,8.0,8.2,9.2
Lee Yong Seok,The Village: Achiara's Secret,3399,1090,8.2,8.5,7.0,6.0,7.8
"Lee Yong Seok, Lee Dong Hyun",Doctor Lawyer,2308,1363,8.0,8.2,7.6,5.5,7.9
Lee Yoo Yeon,Best Mistake,3734,923,7.4,7.3,7.7,6.6,7.2
Lee Yoo Yeon,Best Mistake Season 2,4178,1693,6.5,7.7,6.9,5.1,6.7
Lee Yoo Yeon,Light on Me,1227,257,8.0,8.3,9.0,7.3,8.3
Lee Yoon Jung,Argon,2073,2557,8.3,9.2,7.7,6.6,8.4
Lee Yoon Jung,Cheese in the Trap,6219,38,6.4,8.8,8.2,5.7,7.0
Lee Yoon Jung,Heart to Heart,2650,943,9.0,9.5,8.6,8.6,9.3
Lee Yoon Jung,Summer Strike,818,494,7.6,9.0,8.6,6.5,8.1
Lee Yoon Jung,The Lies Within,2341,1441,6.6,8.8,7.0,5.0,6.8
Lim Hyun Hee,Our Dating Sim,2185,569,8.3,9.3,8.3,9.1,9.2
Lim Jae Kyung,Must You Go?,5841,2831,7.4,7.8,8.1,5.1,7.3
Lim Suk Jin,Falling for Do Jeon,7884,1561,7.7,8.5,8.4,6.6,8.0
Lin Yan,Single & Ready to Mingle,3645,3007,6.6,7.4,6.1,4.9,6.9
Mae Cruz-Alviar,Two Hearts,57088,9601,8.2,8.8,8.0,7.2,8.0
Marut Sarowat,The Miracle,7958,1051,7.4,7.8,7.8,5.6,7.6
Maruyama Seiji,First Love Story,6109,5763,7.5,8.0,5.5,6.5,7.0
Min Chae Yeon,Happy Merry Ending,7632,1366,6.0,8.2,8.2,5.1,6.8
Min Doo Shik,Click Your Heart,7777,808,7.6,8.1,8.0,6.8,8.0
Min Doo Shik,Missing Korea,8905,4337,6.4,7.1,3.9,3.4,6.4
Min Doo Shik,My Only Love Song,3414,594,6.5,7.0,6.8,5.8,6.6
Min Doo Shik,Rich Man,6861,554,5.7,6.0,6.5,3.8,5.6
Min Ji Young,Bitch X Rich,5659,1731,7.0,8.5,6.2,4.5,7.0
"Min Ji Young, Lim Min Young",The Man of My Life,6966,9790,7.0,5.0,7.5,5.5,6.5
"Min Ji Young, Lim Min Young",User Not Found,3203,1505,7.2,7.0,7.2,5.2,6.9
Min Jin Gi,When the Devil Calls Your Name,2219,980,8.8,9.5,9.4,7.7,9.0
"Min Jin Gi, Jung Hyun Nam",Circle,600,401,9.3,9.2,8.0,8.6,9.0
Min Yeon Hong,Insider,1824,1396,8.8,9.8,8.9,8.2,8.8
Min Yeon Hong,Missing: The Other Side,320,796,9.6,9.7,9.0,7.6,9.4
Min Yeon Hong,Touch,6689,1774,6.2,6.5,6.9,4.1,6.1
"Min Yeon Hong, Lee Jung Hoon",Longing Heart,3509,1136,7.6,8.2,7.0,5.8,7.2
"Min Yeon Hong, Lee Jung Hoon","Miss Ma, Nemesis",3243,4898,7.5,8.8,8.0,6.2,7.5
"Min Yeon Hong, Lee Ye Rim",Missing: The Other Side Season 2,147,1862,9.5,9.6,8.9,8.5,9.4
Mo Wan Il,Misty,975,1179,8.5,9.4,8.7,7.1,8.6
Mo Wan Il,The World of the Married,660,222,7.8,9.3,8.3,5.5,8.0
"Mo Wan Il, Lee Jae Hoon",A Beautiful Mind,1265,438,9.2,9.4,9.1,8.6,9.2
"Moon Joon Ha, Hwang Seung Gi",Radio Romance,5123,219,5.2,6.9,6.5,4.2,5.7
Myung Hyun Woo,Miracle,5850,2090,6.4,7.4,6.7,4.0,6.4
Nam Gun,Private Lives,6110,668,6.7,8.7,7.8,4.9,7.3
Nam Gun,Temperature of Love,5140,465,6.9,8.8,8.1,5.5,7.3
Nam Gun,The Royal Gambler,3459,1637,7.6,9.4,8.7,6.8,8.3
Nam Ki Hoon,Big Bet Season 2,4459,6669,6.2,8.2,4.0,1.0,6.8
Nam Ki Hoon,Kiss Sixth Sense,1896,804,6.7,7.8,6.9,5.0,7.0
Nam Ki Hoon,Leverage,1100,1473,7.0,8.0,6.5,5.5,7.3
Nam Ki Hoon,My Unfortunate Boyfriend,7999,1452,6.7,6.8,6.5,5.8,7.0
Nam Ki Hoon,Oh My Baby,3511,1031,7.8,8.4,7.7,4.2,7.5
Nam Ki Hoon,That Man Oh Soo,8175,1165,4.4,6.1,5.6,2.2,4.8
Nam Ki Hoon,Voice Season 3: City of Accomplices,885,1484,8.6,9.3,8.9,8.0,8.8
"Nam Ki Hoon, Shin Yong Hwi",Tunnel,303,242,7.5,8.7,7.9,6.0,7.8
Nam Sung Woo,Kkondae  Intern,2936,1628,9.2,9.3,8.8,8.5,9.2
Nam Sung Woo,Love in Contract,3623,341,4.5,6.4,5.1,2.0,4.9
Nam Sung Woo,My Roommate Is a Gumiho,817,90,7.4,8.7,8.0,6.5,7.8
Nam Tae Jin,Jinx,6144,4848,8.0,8.0,7.5,6.0,8.0
Nam Tae Jin,Part-Time Idol,6297,1511,7.8,7.5,7.6,5.2,7.2
Nam Tae Jin,Switch: Change the World,2921,1550,8.4,9.0,7.2,7.3,8.6
Noh Do Cheol,Kill Heel,6637,4332,7.1,8.2,7.3,5.2,6.3
Noh Do Cheol,Partners for Justice,711,971,8.1,8.0,7.5,5.7,7.8
"Noh Do Cheol, Han Jin Sun",Partners for Justice Season 2,228,1427,9.0,9.2,9.2,8.8,8.8
Noh Jong Chan,Clean with Passion for Now,4045,149,7.4,9.1,8.1,6.2,7.5
Noh Jong Chan,Idol: The Coup,1647,1566,8.5,9.1,9.2,8.3,8.8
Oh Choong Hwan,Doctors,2879,92,6.4,8.5,7.8,5.0,7.4
Oh Choong Hwan,Hotel del Luna,314,10,7.0,8.2,8.5,6.3,7.7
Oh Choong Hwan,Start-Up,1724,50,6.8,8.8,8.7,6.3,7.2
"Oh Choong Hwan, Bae Hyun Jin",Big Mouth,395,163,6.7,9.1,6.6,5.2,7.0
"Oh Choong Hwan, Park Soo Jin",While You Were Sleeping,213,11,8.3,8.7,8.8,6.8,8.2
Oh Chung Pung,"Fly, Again",6222,4896,5.5,8.0,7.0,2.0,7.5
Oh Da Young,Oh My Ladylord,8778,1127,3.6,7.8,6.1,2.0,5.1
Oh Hyun Jong,The One and Only,2704,942,7.4,8.9,7.6,5.5,7.9
Oh Hyun Jong,Two Cops,2853,903,6.5,7.9,6.0,5.2,6.8
"Oh Hyun Jong, Lee Soo Hyun",Find Me in Your Memory,1267,321,7.2,8.7,8.4,6.1,7.5
"Oh Hyun Jong, Nam Sung Woo",Weightlifting Fairy Kim Bok Joo,150,3,7.4,8.6,8.7,5.6,7.6
"Oh Hyun Jong, Park Won Gook",A Daughter Just Like You,5658,5652,6.8,7.2,5.2,4.2,6.8
Oh Jin Suk,Love with Flaws,3570,309,6.1,8.2,8.0,4.9,6.6
Oh Jin Suk,My First First Love,3884,129,6.8,8.5,6.8,4.9,6.9
Oh Jin Suk,My First First Love Season 2,3871,292,6.3,7.9,7.3,5.2,6.7
Oh Jin Suk,My Sassy Girl,3492,586,7.2,8.2,7.8,4.9,7.3
